Complaint_ID,Sector,Complaint_Text,Response_Type,Sentiment_Label,Sentiment_Score
C001,Airline,Your staff did not handle the delay situation properly.,Delayed Response,Neutral,-0.47
C002,Airline,I received a generic apology but no accountability.,Personalized Response,Neutral,-0.98
C003,Airline,My flight was delayed for 6 hours and no proper explanation was given.,Personalized Response,Neutral,-0.37
C004,E-commerce,I feel the company does not trust customers during refunds.,Personalized Response,Negative,-0.98
C005,Airline,I was stranded at the airport without any update from the airline.,Delayed Response,Negative,-0.81
C006,E-commerce,I had to upload documents multiple times for a simple return.,Personalized Response,Very Negative,-0.47
C007,Banking,The customer service team was not helpful.,Standard Template,Negative,-0.9
C008,Airline,I received a generic apology but no accountability.,Delayed Response,Neutral,-0.44
C009,Airline,Your staff did not handle the delay situation properly.,Personalized Response,Negative,-0.19
C010,Airline,I received a generic apology but no accountability.,Standard Template,Negative,-0.96
C011,E-commerce,My refund is still under review with no timeline.,Standard Template,Very Negative,-0.25
C012,E-commerce,I feel the company does not trust customers during refunds.,Standard Template,Negative,-0.12
C013,E-commerce,The return pickup was delayed without any notification.,Delayed Response,Negative,-0.16
C014,E-commerce,I had to upload documents multiple times for a simple return.,Personalized Response,Neutral,-0.26
C015,Banking,The grievance redressal process is taking too long.,Personalized Response,Neutral,-0.47
C016,Banking,The grievance redressal process is taking too long.,Delayed Response,Very Negative,-0.28
C017,Banking,There is no transparency in how my case is being handled.,Standard Template,Neutral,-0.92
C018,Banking,I received a standard reply without addressing my issue.,Standard Template,Neutral,-0.61
C019,E-commerce,The return pickup was delayed without any notification.,Personalized Response,Very Negative,-0.83
C020,E-commerce,I feel the company does not trust customers during refunds.,Personalized Response,Very Negative,-0.08
C021,Banking,I received a standard reply without addressing my issue.,Delayed Response,Negative,-0.91
C022,E-commerce,The response I received was automated and unhelpful.,Personalized Response,Negative,-0.52
C023,Airline,Your staff did not handle the delay situation properly.,Standard Template,Very Negative,-0.41
C024,E-commerce,I feel the company does not trust customers during refunds.,Standard Template,Very Negative,-0.74
C025,E-commerce,I had to upload documents multiple times for a simple return.,Personalized Response,Neutral,-0.27
C026,Airline,The compensation process is extremely unclear and frustrating.,Personalized Response,Very Negative,-0.27
C027,Airline,I received a generic apology but no accountability.,Standard Template,Neutral,-0.8
C028,Banking,The customer service team was not helpful.,Delayed Response,Very Negative,-0.2
C029,Airline,Your staff did not handle the delay situation properly.,Personalized Response,Very Negative,-0.0
C030,E-commerce,The response I received was automated and unhelpful.,Standard Template,Negative,-0.53
C031,Banking,The grievance redressal process is taking too long.,Delayed Response,Neutral,-0.54
C032,E-commerce,The return pickup was delayed without any notification.,Standard Template,Very Negative,-0.53
C033,Banking,I received a standard reply without addressing my issue.,Standard Template,Neutral,-0.13
C034,Airline,I received a generic apology but no accountability.,Standard Template,Neutral,-0.2
C035,Banking,I received a standard reply without addressing my issue.,Personalized Response,Neutral,-0.2
C036,Airline,Your staff did not handle the delay situation properly.,Personalized Response,Very Negative,-0.86
C037,Banking,I received a standard reply without addressing my issue.,Delayed Response,Neutral,-0.23
C038,E-commerce,I had to upload documents multiple times for a simple return.,Standard Template,Neutral,-0.4
C039,Banking,My complaint regarding unauthorized charges is still unresolved.,Standard Template,Negative,-0.54
C040,Banking,The customer service team was not helpful.,Personalized Response,Neutral,-0.12
